attribute,mean,max,min
pattern_c42,0.32659313725490197,1.0,0.0
pattern_c41,0.32659313725490197,1.0,0.0
cc_double_bond,0.35294117647058826,1.0,0.0
maccs_322_125,0.35294117647058826,1.0,0.0
maccs_k099,0.35294117647058826,1.0,0.0
maccs_k076,0.35232843137254904,1.0,0.0
pubchem_f453,0.3860294117647059,1.0,0.0
pubchem_f840,0.11274509803921569,1.0,0.0
pubchem_f367,0.6158088235294118,1.0,0.0
pubchem_f019,0.897671568627451,1.0,0.0
oxygen_atom,0.897671568627451,1.0,0.0
maccs_k164,0.897671568627451,1.0,0.0
maccs_322_011,0.9558823529411765,1.0,0.0
pattern_c37,0.53125,1.0,0.0
pubchem_f014,0.13419117647058823,1.0,0.0
maccs_k072,0.3174019607843137,1.0,0.0
pubchem_f342,0.6482843137254902,1.0,0.0
maccs_k152,0.6482843137254902,1.0,0.0
pubchem_f568,0.2861519607843137,1.0,0.0
maccs_k115,0.4944852941176471,1.0,0.0
maccs_322_139,0.024509803921568627,1.0,0.0
maccs_k063,0.024509803921568627,1.0,0.0
maccs_322_137,0.024509803921568627,1.0,0.0
pubchem_f685,0.5012254901960784,1.0,0.0
sugar_pattern_2,0.12683823529411764,1.0,0.0
XLogP,2.3193351715686266,23.399,-19.634
ATSc4,0.05188348651960787,2.436468,-3.204807
nAcid,0.446078431372549,14.0,0.0
pubchem_f615,0.40441176470588236,1.0,0.0
pattern_c48,0.40441176470588236,1.0,0.0
ALogp2,17.821823409313676,803.830234,0.0
pubchem_f619,0.46017156862745096,1.0,0.0
pubchem_f691,0.3069852941176471,1.0,0.0
maccs_k070,0.031862745098039214,1.0,0.0
pubchem_f424,0.028799019607843136,1.0,0.0
hexoside,0.09803921568627451,1.0,0.0
pubchem_f463,0.12193627450980392,1.0,0.0
pubchem_f538,0.12193627450980392,1.0,0.0
pubchem_f662,0.15318627450980393,1.0,0.0
pattern_c113,0.12009803921568628,1.0,0.0
pubchem_f471,0.47181372549019607,1.0,0.0
pattern_c71,0.47181372549019607,1.0,0.0
pubchem_f553,0.47181372549019607,1.0,0.0
pubchem_f521,0.47181372549019607,1.0,0.0
pattern_c33,0.9705882352941176,1.0,0.0
pattern_c32,0.9705882352941176,1.0,0.0
pattern_c15,0.9705882352941176,1.0,0.0
chiral_center_specified,0.9705882352941176,1.0,0.0
maccs_322_016,0.9791666666666666,1.0,0.0
pattern_c8,0.9791666666666666,1.0,0.0
pattern_c73,0.45955882352941174,1.0,0.0
pubchem_f687,0.1636029411764706,1.0,0.0
pattern_c10,0.1488970588235294,1.0,0.0
maccs_k071,0.03676470588235294,1.0,0.0
pubchem_f302,0.03676470588235294,1.0,0.0
pubchem_f579,0.46875,1.0,0.0
pubchem_f585,0.46875,1.0,0.0
pubchem_f678,0.46875,1.0,0.0
pubchem_f604,0.46875,1.0,0.0
sugar_pattern_combi,0.11642156862745098,1.0,0.0
pubchem_f333,0.9754901960784313,1.0,0.0
pubchem_f385,0.5073529411764706,1.0,0.0
pattern_c75,0.5079656862745098,1.0,0.0
pubchem_f372,0.47181372549019607,1.0,0.0
nAtomP,7.71936274509804,34.0,0.0
pattern_c76,0.44424019607843135,1.0,0.0
pubchem_f635,0.4742647058823529,1.0,0.0
pubchem_f669,0.4742647058823529,1.0,0.0
maccs_k026,0.08823529411764706,1.0,0.0
sugar_pattern_2_alpha,0.08823529411764706,1.0,0.0
