attribute,mean,max,min
nHBDon,2.8382352941176467,34.0,0.0
maccs_k148,0.5073529411764706,1.0,0.0
pattern_c67,0.4074754901960784,1.0,0.0
tertiary aliph amine,0.1133578431372549,1.0,0.0
TopoPSA,102.97335171568615,965.2,0.0
pattern_c74,0.3700980392156863,1.0,0.0
pattern_c81,0.36703431372549017,1.0,0.0
pattern_c83,0.3602941176470588,1.0,0.0
pubchem_f391,0.47671568627450983,1.0,0.0
maccs_322_029,0.38848039215686275,1.0,0.0
pattern_c84,0.38848039215686275,1.0,0.0
pattern_c79,0.3639705882352941,1.0,0.0
pattern_c80,0.3584558823529412,1.0,0.0
bpol,38.370044866421495,247.965709,0.0
pubchem_f366,0.45526960784313725,1.0,0.0
pubchem_f346,0.42830882352941174,1.0,0.0
XLogP,2.3193351715686266,23.399,-19.634
pattern_c85,0.35232843137254904,1.0,0.0
pattern_c35,0.35232843137254904,1.0,0.0
maccs_k139,0.5790441176470589,1.0,0.0
pubchem_f309,0.5790441176470589,1.0,0.0
pubchem_f517,0.5802696078431373,1.0,0.0
hydroxyl,0.5680147058823529,1.0,0.0
pubchem_f407,0.5680147058823529,1.0,0.0
maccs_k093,0.2616421568627451,1.0,0.0
carbonyl,0.5741421568627451,1.0,0.0
pattern_c82,0.3492647058823529,1.0,0.0
pattern_c87,0.3382352941176471,1.0,0.0
posionazable,0.16789215686274508,1.0,0.0
pubchem_f541,0.4209558823529412,1.0,0.0
ATSm5,51.71408499080885,407.642377,0.0
ATSm4,53.860832400735276,378.682984,0.0
ALogP,-0.8091128063725477,11.273,-28.3519
pattern_c89,0.6446078431372549,1.0,0.0
maccs_322_034,0.6446078431372549,1.0,0.0
pattern_c34,0.6446078431372549,1.0,0.0
apol,61.480370574754836,366.140291,1.468793
pubchem_f614,0.4430147058823529,1.0,0.0
pubchem_f021,0.4105392156862745,1.0,0.0
maccs_k140,0.4105392156862745,1.0,0.0
maccs_k111,0.34375,1.0,0.0
pubchem_f684,0.43014705882352944,1.0,0.0
ATSm3,48.25158931004907,298.747967,0.0
maccs_k123,0.45894607843137253,1.0,0.0
pubchem_f381,0.45894607843137253,1.0,0.0
MW,387.55185144056384,2446.198955,17.00274
nB,28.758578431372534,176.0,0.0
pubchem_f634,0.24387254901960784,1.0,0.0
maccs_k085,0.23284313725490197,1.0,0.0
pubchem_f392,0.23284313725490197,1.0,0.0
pubchem_f593,0.4534313725490196,1.0,0.0
nHBAcc,6.379901960784316,60.0,0.0
nAcid,0.446078431372549,14.0,0.0
maccs_322_127,0.5943627450980392,1.0,0.0
pattern_c70,0.32659313725490197,1.0,0.0
pattern_c111,0.2800245098039216,1.0,0.0
pattern_c78,0.3247549019607843,1.0,0.0
pubchem_f441,0.37806372549019607,1.0,0.0
pubchem_f340,0.39215686274509803,1.0,0.0
AMR,100.4979493872547,512.0106,0.0
ATSm2,33.31832267708328,201.24035,0.0
pubchem_f022,0.16666666666666666,1.0,0.0
pubchem_f180,0.602328431372549,1.0,0.0
pubchem_f004,0.26715686274509803,1.0,0.0
maccs_322_028,0.6605392156862745,1.0,0.0
pattern_c88,0.6605392156862745,1.0,0.0
maccs_k053,0.24325980392156862,1.0,0.0
fatty acyl,0.25,1.0,0.0
MLogP,2.906311274509805,7.29,-2.06
maccs_k125,0.33026960784313725,1.0,0.0
pattern_c16,0.27267156862745096,1.0,0.0
pubchem_f444,0.6439950980392157,1.0,0.0
pattern_c161,0.15808823529411764,1.0,0.0
pubchem_f258,0.3272058823529412,1.0,0.0
aliphatic alcohol,0.3161764705882353,1.0,0.0
pubchem_f453,0.3860294117647059,1.0,0.0
maccs_322_258,0.1801470588235294,1.0,0.0
secondary alcohol,0.31433823529411764,1.0,0.0
maccs_k132,0.5912990196078431,1.0,0.0
pubchem_f435,0.7089460784313726,1.0,0.0
pubchem_f550,0.2818627450980392,1.0,0.0
ATSc1,0.7001100245098046,7.011197,0.0
pattern_c68,0.3131127450980392,1.0,0.0
pattern_c28,0.14705882352941177,1.0,0.0
alkylarylether,0.14705882352941177,1.0,0.0
sugar_pattern_1,0.14767156862745098,1.0,0.0
pubchem_f465,0.2935049019607843,1.0,0.0
pattern_c104,0.25674019607843135,1.0,0.0
1_methoxy2_unsubstituted_arene,0.08088235294117647,1.0,0.0
carboxyl,0.2181372549019608,1.0,0.0
maccs_k146,0.5557598039215687,1.0,0.0
_13-tautomerizable,0.6274509803921569,1.0,0.0
pattern_c38,0.6274509803921569,1.0,0.0
pubchem_f629,0.2622549019607843,1.0,0.0
pattern_c37,0.53125,1.0,0.0
pubchem_f572,0.3474264705882353,1.0,0.0
aliph_carboxylic,0.19975490196078433,1.0,0.0
azacycle,0.3075980392156863,1.0,0.0
maccs_k121,0.3075980392156863,1.0,0.0
maccs_k154,0.6593137254901961,1.0,0.0
pubchem_f605,0.21446078431372548,1.0,0.0
maccs_k054,0.27450980392156865,1.0,0.0
ATSm1,34.80684448651963,254.960713,1.774469
pattern_c102,0.24571078431372548,1.0,0.0
pubchem_f421,0.6654411764705882,1.0,0.0
pattern_c98,0.24325980392156862,1.0,0.0
pubchem_f661,0.7046568627450981,1.0,0.0
pubchem_f679,0.7046568627450981,1.0,0.0
pubchem_f657,0.3939950980392157,1.0,0.0
maccs_k131,0.47181372549019607,1.0,0.0
pubchem_f179,0.7524509803921569,1.0,0.0
pubchem_f566,0.19056372549019607,1.0,0.0
maccs_k075,0.2512254901960784,1.0,0.0
pubchem_f525,0.7132352941176471,1.0,0.0
pattern_c112,0.16605392156862744,1.0,0.0
pubchem_f590,0.18995098039215685,1.0,0.0
pubchem_f627,0.18995098039215685,1.0,0.0
pubchem_f575,0.28125,1.0,0.0
pubchem_f682,0.24325980392156862,1.0,0.0
pubchem_f447,0.7395833333333334,1.0,0.0
pattern_c109,0.27267156862745096,1.0,0.0
pubchem_f536,0.5888480392156863,1.0,0.0
sugar_pattern_2,0.12683823529411764,1.0,0.0
pattern_c101,0.23835784313725492,1.0,0.0
unfused_benzene,0.28431372549019607,1.0,0.0
phenoxide_para_subs,0.28431372549019607,1.0,0.0
benzene,0.28431372549019607,1.0,0.0
pubchem_f549,0.28431372549019607,1.0,0.0
pattern_c105,0.24448529411764705,1.0,0.0
pubchem_f600,0.7144607843137255,1.0,0.0
pubchem_f543,0.22977941176470587,1.0,0.0
ring_of_size6,0.7616421568627451,1.0,0.0
maccs_k163,0.7616421568627451,1.0,0.0
pubchem_f640,0.29901960784313725,1.0,0.0
pattern_c26,0.12622549019607843,1.0,0.0
pubchem_f601,0.20036764705882354,1.0,0.0
pubchem_f656,0.29840686274509803,1.0,0.0
pattern_c103,0.2426470588235294,1.0,0.0
phenolether_ortho_subs,0.07107843137254902,1.0,0.0
pubchem_f477,0.20220588235294118,1.0,0.0
pattern_c58,0.21691176470588236,1.0,0.0
maccs_k113,0.26838235294117646,1.0,0.0
pubchem_f383,0.23529411764705882,1.0,0.0
pattern_c52,0.22426470588235295,1.0,0.0
pubchem_f382,0.27267156862745096,1.0,0.0
pattern_c99,0.23345588235294118,1.0,0.0
phenolether_para_subs,0.07230392156862746,1.0,0.0
pattern_c106,0.22181372549019607,1.0,0.0
pubchem_f607,0.24571078431372548,1.0,0.0
pubchem_f652,0.24571078431372548,1.0,0.0
sugar_pattern_combi,0.11642156862745098,1.0,0.0
pattern_c56,0.21997549019607843,1.0,0.0
phenol ether,0.07107843137254902,1.0,0.0
pattern_c54,0.2267156862745098,1.0,0.0
maccs_k089,0.37683823529411764,1.0,0.0
pubchem_f542,0.24816176470588236,1.0,0.0
maccs_k099,0.35294117647058826,1.0,0.0
cc_double_bond,0.35294117647058826,1.0,0.0
maccs_322_125,0.35294117647058826,1.0,0.0
edg,0.29840686274509803,1.0,0.0
maccs_k076,0.35232843137254904,1.0,0.0
pattern_c57,0.22181372549019607,1.0,0.0
pattern_c51,0.22549019607843138,1.0,0.0
pattern_c53,0.22549019607843138,1.0,0.0
alkenyl,0.32659313725490197,1.0,0.0
pattern_c42,0.32659313725490197,1.0,0.0
pattern_c41,0.32659313725490197,1.0,0.0
pattern_c55,0.22303921568627452,1.0,0.0
pubchem_f348,0.12622549019607843,1.0,0.0
pattern_c59,0.22365196078431374,1.0,0.0
pubchem_f020,0.7463235294117647,1.0,0.0
maccs_k159,0.7463235294117647,1.0,0.0
pubchem_f641,0.7254901960784313,1.0,0.0
pubchem_f664,0.24693627450980393,1.0,0.0
nRotB,7.579656862745095,81.0,0.0
ALogp2,17.821823409313676,803.830234,0.0
pubchem_f014,0.13419117647058823,1.0,0.0
pubchem_f431,0.5943627450980392,1.0,0.0
ATSc5,-0.05115896507352939,3.054225,-3.357506
pubchem_f491,0.7395833333333334,1.0,0.0
pubchem_f557,0.7395833333333334,1.0,0.0
pubchem_f417,0.7800245098039216,1.0,0.0
pubchem_f666,0.21200980392156862,1.0,0.0
pubchem_f442,0.7781862745098039,1.0,0.0
pubchem_f347,0.5337009803921569,1.0,0.0
ATSc3,-0.06314871139705887,2.779294,-2.440778
pubchem_f499,0.26286764705882354,1.0,0.0
maccs_322_259,0.27818627450980393,1.0,0.0
maccs_322_051,0.35049019607843135,1.0,0.0
pubchem_f580,0.5404411764705882,1.0,0.0
pubchem_f341,0.40931372549019607,1.0,0.0
ATSc2,-0.31395003431372526,0.005913,-3.619953
hexoside,0.09803921568627451,1.0,0.0
pubchem_f547,0.19424019607843138,1.0,0.0
pubchem_f503,0.19852941176470587,1.0,0.0
maccs_k136,0.33578431372549017,1.0,0.0
pubchem_f691,0.3069852941176471,1.0,0.0
pattern_c113,0.12009803921568628,1.0,0.0
pubchem_f578,0.12071078431372549,1.0,0.0
pattern_c6,0.2647058823529412,1.0,0.0
pubchem_f181,0.18075980392156862,1.0,0.0
maccs_k107,0.12745098039215685,1.0,0.0
pubchem_f861,0.13357843137254902,1.0,0.0
pattern_c96,0.2113970588235294,1.0,0.0
pattern_c13,0.12867647058823528,1.0,0.0
organohalide,0.12867647058823528,1.0,0.0
pubchem_f377,0.2555147058823529,1.0,0.0
pubchem_f546,0.25245098039215685,1.0,0.0
pattern_c97,0.21629901960784315,1.0,0.0
pattern_c100,0.21629901960784315,1.0,0.0
pubchem_f016,0.3235294117647059,1.0,0.0
maccs_k142,0.3235294117647059,1.0,0.0
pubchem_f662,0.15318627450980393,1.0,0.0
aliphatic_chain_13,0.14583333333333334,1.0,0.0
maccs_k134,0.12990196078431374,1.0,0.0
halide,0.12990196078431374,1.0,0.0
pubchem_f840,0.11274509803921569,1.0,0.0
sugar_pattern_2_alpha,0.08823529411764706,1.0,0.0
maccs_k090,0.47120098039215685,1.0,0.0
pubchem_f702,0.2708333333333333,1.0,0.0
pubchem_f450,0.2616421568627451,1.0,0.0
maccs_k126,0.7340686274509803,1.0,0.0
phenylalkyl_para_subs,0.14583333333333334,1.0,0.0
sat_carb_r6,0.23774509803921567,1.0,0.0
pubchem_f564,0.15502450980392157,1.0,0.0
sugar_pattern_2_beta,0.08394607843137254,1.0,0.0
maccs_k091,0.4736519607843137,1.0,0.0
primary alcohol,0.15870098039215685,1.0,0.0
pattern_c163,0.05392156862745098,1.0,0.0
pubchem_f687,0.1636029411764706,1.0,0.0
pubchem_f586,0.23100490196078433,1.0,0.0
pubchem_f658,0.23100490196078433,1.0,0.0
pubchem_f496,0.2340686274509804,1.0,0.0
112_trisubstituted_alkene,0.16237745098039216,1.0,0.0
pubchem_f595,0.2818627450980392,1.0,0.0
